id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1243665613056286720,Fri Mar 27 22:26:02 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @theworldindex: Coronavirus (COVID-19) deaths worldwide:

🇮🇹ITA: 9,134
🇪🇸ESP: 4,934
🇨🇳CHN: 3,292
🇮🇷IRI: 2,378
🇫🇷FRA: 1,995
🇺🇸USA: 1,477…","Coronavirus COVID-19 deaths worldwide 🇮🇹ITA ,134 🇪🇸ESP ,934 🇨🇳CHN ,292 🇮🇷IRI ,378 🇫🇷FRA ,995 🇺🇸USA ,477…","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,27_amazon,,,theworldindex,,
1243665608790638593,Fri Mar 27 22:26:01 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @w_terrence: NO DEMOCRATS WERE INVITED 😂

People are very upset that President @realDonaldTrump didn’t invite any democrats at the #coro…",NO DEMOCRATS WERE INVITED People upset President ’ invite democrats …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,1,sonaroan,,,"w_terrence, realDonaldTrump","Highlands, Scotland, UK",
1243665604504178688,Fri Mar 27 22:26:00 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BashirAhmaad: Like @NCDCGov’s 080097000010, most of our states have their own dedicated helplines to assist citizens on #coronavirus re…",Like ’ states dedicated helplines assist citizens re…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,28,Muhaytu,,coronavirus,"BashirAhmaad, NCDCgov",On Earth☺ ,
1243665600372707334,Fri Mar 27 22:25:59 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @mullrainee: So China kicks American news outlets out. The next day claims there are zero new COVID-19 cases in Wuhan and we’re just pre…,So China kicks American news outlets The next day claims zero new COVID-19 cases Wuhan ’ pre…,"Sentiment(polarity=0.04545454545454545, subjectivity=0.15151515151515152)",0.04545454545454545,0.15151515151515152,en,0,24,jaredgeng54,,,mullrainee,"Chesterton, IN",
1243665596249604097,Fri Mar 27 22:25:58 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @RepDougCollins: .@realDonaldTrump has never wavered in his approach to fighting #coronavirus.
 
He is working to put the health of Amer…",never wavered approach fighting He working put health Amer…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,david_quinze,,coronavirus,"RepDougCollins, realDonaldTrump",,
1243665591979970560,Fri Mar 27 22:25:57 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @VsauceThree: Tracking COVID-19 and MORE! [NEW DONG] --&gt; https://t.co/bYULNtfXxO https://t.co/WLQhPxyn2z,Tracking COVID-19 MORE NEW DONG -- gt,"Sentiment(polarity=0.3181818181818182, subjectivity=0.4772727272727273)",0.3181818181818182,0.4772727272727273,en,0,0,Kurosaki9819,False,,VsauceThree,"Clermont-Ferrand, France",
1243665587852709888,Fri Mar 27 22:25:56 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Shame on you @POTUS you are a pathetic excuse for a leader #coronavirus,Shame pathetic excuse leader,"Sentiment(polarity=-0.525, subjectivity=0.525)",-0.525,0.525,en,0,2065,CriedTilLaughed,,coronavirus,POTUS,Hurricane Junction uh huh,
1243665583603924993,Fri Mar 27 22:25:55 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @moreki_mo: I swear we are fighting two pandemics 
Covid 19 and Stupidity",I swear fighting two pandemics Covid Stupidity,"Sentiment(polarity=-0.6, subjectivity=1.0)",-0.6,1.0,en,0,4,g0ldenchanel,,,moreki_mo,,
1243665579501854723,Fri Mar 27 22:25:54 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Terenz’s AI Engine detects COVID-19 from Chest X-Rays with an Accuracy of 98.14% by James S. https://t.co/Q8iaAfOtzG,Terenz ’ AI Engine detects COVID-19 Chest X-Rays Accuracy 4 James S,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,323,SoizicContin4,False,,,,
1243665575227899906,Fri Mar 27 22:25:53 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Mohaddessin: #Iran: #Coronavirus death toll reaches 8,200 in 200 cities
#Covid_19 
https://t.co/uLMWwauqEA","death toll reaches ,200 cities","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,275,1Maesumeh1,False,"Iran, Coronavirus, Covid_19",Mohaddessin,,
1243665571075354624,Fri Mar 27 22:25:52 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ExcitedLeigh: My bank: ""There is a scam involving a fake government SMS with a web link to info on where to get tested for COVID-19 whi…",My bank `` There scam involving fake government SMS web link info get tested COVID-19 whi…,"Sentiment(polarity=-0.5, subjectivity=1.0)",-0.5,1.0,en,0,126,FaeHerself,,,ExcitedLeigh,"West Ryde, Sydney",
1243665566688215042,Fri Mar 27 22:25:51 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @dublinactivist: Why France Is Hiding A Cheap &amp; Tested Virus Cure
Incredible corruption &amp; collusion between #MacronsGovt &amp; #BigPharma 
M…",Why France Is Hiding A Cheap amp Tested Virus Cure Incredible corruption amp collusion amp M…,"Sentiment(polarity=0.65, subjectivity=0.8)",0.65,0.8,en,0,21,ExCatho,,"MacronsGovt, BigPharma",dublinactivist,derrière la sacristie,
1243665562586267656,Fri Mar 27 22:25:50 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @JonathanMerritt: I don’t often ask for prayer on here, but my friend Laura from NYC has COVID-19. She has double pneumonia and is in IC…",I ’ often ask prayer friend Laura NYC COVID-19 She double pneumonia IC…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,422,PcolaBucsfan,,,JonathanMerritt,"Pensacola, FL",
1243665558517747712,Fri Mar 27 22:25:49 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @AnaCabrera: JUST IN: 51 Italian doctors who tested positive for #coronavirus have died - Italian Association of Doctors,JUST IN Italian doctors tested positive died Italian Association Doctors,"Sentiment(polarity=0.07575757575757576, subjectivity=0.1818181818181818)",0.07575757575757576,0.1818181818181818,en,0,24896,sleepkeeper,,coronavirus,AnaCabrera,,
1243665554294149121,Fri Mar 27 22:25:48 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @doctor_oxford: Truly heartbreaking. The first teenager in America to die of #COVID19 - a 17 year old boy from California - was denied c…,Truly heartbreaking The first teenager America die year old boy California denied c…,"Sentiment(polarity=0.175, subjectivity=0.26666666666666666)",0.175,0.26666666666666666,en,0,103888,FurnessGirl,,COVID19,doctor_oxford,South Cumbria,
1243665550137536513,Fri Mar 27 22:25:47 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Mixana_PaBlo: I washed my hands so much due to COVID 19, that my exam notes from 2007 resurfaced",I washed hands much due COVID exam notes resurfaced,"Sentiment(polarity=-0.125, subjectivity=0.375)",-0.125,0.375,en,0,9559,amandasosaucy,,,Mixana_PaBlo,,
1243665545934839811,Fri Mar 27 22:25:46 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hmmm... two distinct strains, perhaps?  

#CoronaLockdown
#COVID19
#coronavirus
#CCPVirus
#escapedfromlab

https://t.co/ToDK80Zvin",Hmmm ... two distinct strains perhaps,"Sentiment(polarity=0.3, subjectivity=0.3)",0.3,0.3,en,0,27,capac_manco,False,"CoronaLockdown, COVID19, coronavirus, CCPVirus, escapedfromlab",,"Virginia, USA",
